Name	Theme	URL	Image URL	Type
A New View of the GiantŐs Causeway	Geology	https://www.nationalmuseumsni.org/resources/new-view-giants-causeway	https://cms.nationalmuseumsni.org/sites/default/files/styles/responsive/public/1920/1080/1/2022-10/DSCN2318%20crowded%20Causeway.jpg	Article
Giant's Causeway Wikipedia Entry	General	https://en.wikipedia.org/wiki/Giant%27s_Causeway	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Causeway-code_poet-4.jpg/960px-Causeway-code_poet-4.jpg	Article
Giant's Causeway National Trust	Tourism	https://www.nationaltrust.org.uk/visit/northern-ireland/giants-causeway	https://nt.global.ssl.fastly.net/binaries/content/gallery/website/national/regions/northern-ireland/places/giants-causeway/library/visitor-basalt-columns-giants-causeway-northern-ireland1274673.jpg?auto=webp&width=676&crop=16:9&dpr=1	Article
Giant's Causeway Simple English Wikipedia	General	https://simple.wikipedia.org/wiki/Giant%27s_Causeway	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Aird_Snout_-_geograph.org.uk_-_474835.jpg/250px-Aird_Snout_-_geograph.org.uk_-_474835.jpg	Article
Giant's Causeway Tourism Ireland	Tourism	https://www.ireland.com/en-gb/things-to-do/attractions/giants-causeway/	https://images.ireland.com/thumbs/Images/things-to-do/attractions/giants-causeway/e8561dcf030e4733a64647914c8f6282/largehero-tablet.webp	Article
History of Giant's Causeway	History, Folklore	https://www.nationaltrust.org.uk/visit/northern-ireland/giants-causeway/history-of-giants-causeway	https://nt.global.ssl.fastly.net/binaries/content/gallery/website/national/regions/northern-ireland/places/giants-causeway/library/basalt-columns-giants-causeway-northern-ireland-180255.jpg?auto=webp&width=1151&crop=16:9&dpr=1	Article
The Giant's Causeway and Causeway Coast	Geology, History	https://www.bgs.ac.uk/discovering-geology/maps-and-resources/office-geology/the-giants-causeway-and-causeway-coast/	https://www.bgs.ac.uk/wp-content/uploads/2021/09/dimitry-anikin-uuFbDfFh5kk-unsplash_web.jpg	Article
The Causeway of the Giants	Geology, Folklore, History	https://ifiarchiveplayer.ie/the-causeway-of-the-giants/	None	Video
East Prospect of the Giant's Causeway	Image	https://digitalarchive.rds.ie/exhibits/show/artcollection/item/3858	https://digitalarchive.rds.ie/files/fullsize/678cef2869d2f1b2a100572df9344c57.jpg	Artwork
Swings and Roundabouts: Giant's Causeway	Children's TV	https://digitalfilmarchive.net/media/swings-and-roundabouts-giants-causeway-2444	None	Video
Geomythology. GiantŐs Causeway: the mythical stone way	Geology, Folklore	https://blogs.egu.eu/divisions/ts/2023/01/25/geomythology-giants-causeway-the-mythical-stone-way/	https://blogs.egu.eu/divisions/ts/files/2023/01/Featured_Image-700x400.jpg	Article
Giant's Causeway Now A World Heritage Site (1987, RTE Archive)	History, Folklore	https://www.rte.ie/archives/2017/0406/865694-giants-causeway-world-heritage-site/	None	Video
5 things you didn't know about Fionn Mac Cumhaill	Folklore	https://www.rte.ie/brainstorm/2024/1211/1305212-fionn-mac-cumhaill-fianna-legends-folklore/	None	Audio, Article, Video
Finn and the Man in the Tree	Folklore	https://celt.ucc.ie/published/T303012.html	None	Transcript
Fionn mac Cumhaill Wikipedia Article	Folklore	https://en.wikipedia.org/wiki/Fionn_mac_Cumhaill	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Finn_Mccool_Comes_to_Aid_the_Fianna.png/250px-Finn_Mccool_Comes_to_Aid_the_Fianna.png	Article
"Dictionary of Irish Biography: Find (Mod. Ir. Fionn; Arch. Ir. Vind; Celt. Vindos)"	Folklore	https://www.dib.ie/biography/find-mod-ir-fionn-arch-ir-vind-celt-vindos-a3085	None	Article
Piece of Giant's Causeway	History 	https://jfk.artifacts.archives.gov/objects/3738/piece-of-giants-causeway	None	Artefact
Fionn MacCumhaill Boyne Valley	Folklore	https://www.rte.ie/archives/collections/news/21277008-fionn-maccumhaill-boyne-valley/	None	Video
Ane Iyle Callit Rachlaine (1976)	Folklore	https://www.rte.ie/archives/2026/0614/1576916-ane-iyle-callit-rachlaine/	None	Video
Natural Wonder Of The World1965	Geology, History	https://www.rte.ie/archives/2015/0514/700992-northern-ireland-trust/	https://img.rasset.ie/000a9400-642.jpg	Video
The Giant's Causeway Public Park (1963)	History	https://www.rte.ie/archives/2018/0619/971621-giants-causeway-wonder-of-the-world/	None	Video
Giant's Causeway and Causeway Coast Unesco World Heritage	General	https://whc.unesco.org/en/list/369/	https://whc.unesco.org/uploads/thumbs/site_0369_0001-600-600-20090928181354.webp	Article, Gallery
The Irish myth of the Giant's Causeway - Iseult Gillespie	Folklore	https://ed.ted.com/lessons/the-irish-myth-of-the-giant-s-causeway-iseult-gillespie	None	Video, Educational content
NLI: Fionn Mac Cumhail's epic adventures	Library catalogue	https://catalogue.nli.ie/Record/vtls000730363	None	Library catalogue entry
Dreams, performed at the Giant's Causeway	Arts	https://www.rte.ie/entertainment/2026/0330/1565968-irish-choir-goes-viral-with-giants-causeway-video/	https://www.rte.ie/images/0024244b-800.jpg	Article, Video
Episode 163 - Mythic Places - The Giants Causeway	Folklore, Arts	https://www.youtube.com/watch?v=cs16BdLKt2A	None	Video 
Giants: The SchoolsŐ Collection, Volume 0088E, Page 09_018	Folklore, History	https://www.duchas.ie/en/cbes/5236078/5218261/5240769?HighlightText=Giant%27s+causeway&Route=stories&SearchLanguage=ga	https://doras.gaois.ie/cbes/CBES_0088E%2FCBES_0088E_09%2FCBES_0088E_09_018.jpg?width=650&quality=85	Scanned document
The SchoolsŐ Collection, Volume 0250, Page 263	Folklore, History	https://www.duchas.ie/en/cbes/4758476/4747244/4779903?HighlightText=Giant%27s+causeway&Route=stories&SearchLanguage=ga	https://doras.gaois.ie/cbes/CBES_0250%2FCBES_0250_263.jpg?width=650&quality=85	Scanned document
Shaping the Landscape	Folklore, History	https://ucdculturalheritagecollections.com/2022/09/01/shaping-the-landscape/	https://i0.wp.com/ucdculturalheritagecollections.com/wp-content/uploads/2022/08/03-Fionn-Mac-Cumhaill.jpg?resize=566%2C380&ssl=1	Article